,dataset,total score,accuracy,completeness,fluency,conciseness,n_few_shot,n_bootstrapped_few_shot,prompt
0,housing_1.json,13.087581699346407,4.0,4.0,2.8,2.2875816993464055,0,1,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
1,housing_1.json,13.087581699346407,4.0,4.0,2.8,2.2875816993464055,0,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
2,housing_1.json,15.605228758169934,4.0,4.0,4.0,3.6052287581699347,3,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
3,housing_2.json,10.444444444444445,4.0,4.0,2.0,0.4444444444444443,0,1,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
4,housing_2.json,10.444444444444445,4.0,4.0,2.0,0.4444444444444443,0,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
5,housing_2.json,14.875555555555556,4.0,4.0,3.8,3.075555555555556,3,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
6,housing_3.json,9.6,4.0,4.0,1.6,0.0,0,1,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
7,housing_3.json,9.6,4.0,4.0,1.6,0.0,0,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
8,housing_3.json,15.00233918128655,4.0,3.6,3.8,3.60233918128655,3,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
9,mushroom_1.json,10.35892255892256,4.0,4.0,1.4,0.9589225589225595,0,1,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
10,mushroom_1.json,10.35892255892256,4.0,4.0,1.4,0.9589225589225595,0,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
11,mushroom_1.json,15.0,4.0,3.6,3.4,4.0,3,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
12,mushroom_2.json,9.53968253968254,4.0,4.0,1.4,0.1396825396825399,0,1,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
13,mushroom_2.json,9.53968253968254,4.0,4.0,1.4,0.1396825396825399,0,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
14,mushroom_2.json,11.447619047619048,0.8,3.2,3.6,3.847619047619048,3,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
15,pdf_1.json,11.266666666666667,4.0,4.0,3.0,0.2666666666666668,0,1,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
16,pdf_1.json,11.266666666666667,4.0,4.0,3.0,0.2666666666666668,0,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
17,pdf_1.json,14.50793650793651,4.0,2.8,4.0,3.707936507936509,3,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
18,pdf_2.json,10.4,4.0,4.0,2.4,0.0,0,1,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
19,pdf_2.json,10.4,4.0,4.0,2.4,0.0,0,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
20,pdf_2.json,9.963636363636363,0.0,2.8,3.6,3.5636363636363635,3,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
21,student_1.json,13.011886304909561,4.0,4.0,2.8,2.2118863049095614,0,1,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
22,student_1.json,13.011886304909561,4.0,4.0,2.8,2.2118863049095614,0,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
23,student_1.json,16.0,4.0,4.0,4.0,4.0,3,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
24,student_2.json,11.966666666666665,4.0,4.0,3.6,0.36666666666666625,0,1,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
25,student_2.json,11.966666666666665,4.0,4.0,3.6,0.36666666666666625,0,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
26,student_2.json,14.511111111111111,4.0,3.2,4.0,3.311111111111111,3,3,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative."
