,dataset,prompt,total score,accuracy,completeness,fluency,conciseness,n_few_shot,n_bootstrapped_few_shot
0,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.24,3.52,3.92,3.8,3.6705882352941175,1.0,
1,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.96,3.2,3.92,3.84,3.696732026143791,3.0,
2,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.92,3.36,3.92,3.64,3.605228758169935,3.0,3.0
3,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.24,3.52,4.0,3.72,3.681045751633987,5.0,
4,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",16.0,4.0,4.0,4.0,3.662222222222223,1.0,
5,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",16.0,4.0,4.0,4.0,3.733333333333333,3.0,
6,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.916666666666666,4.0,4.0,3.9166666666666665,3.075555555555556,3.0,3.0
7,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",16.0,4.0,4.0,4.0,3.644444444444445,5.0,
8,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.75,4.0,3.8333333333333335,3.9166666666666665,3.939181286549708,1.0,
9,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.75,4.0,3.8333333333333335,3.9166666666666665,3.8970760233918127,3.0,
10,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.666666666666666,4.0,3.8333333333333335,3.8333333333333335,3.60233918128655,3.0,3.0
11,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.916666666666666,4.0,4.0,3.9166666666666665,3.962573099415205,5.0,
12,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.05,2.8,3.8,3.45,3.92996632996633,1.0,
13,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.5,3.4,3.6,3.5,3.741414141414141,3.0,
14,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.25,3.0,3.8,3.45,4.0,3.0,3.0
15,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.95,2.6,3.8,3.55,3.92996632996633,5.0,
16,mushroom_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",12.45,2.0,2.7,3.75,3.758730158730159,1.0,
17,mushroom_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",12.5,1.8,3.0,3.7,3.822222222222223,3.0,
18,mushroom_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.6,3.8,3.8,2.0,3.847619047619048,3.0,3.0
19,mushroom_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",12.55,2.2,2.7,3.65,3.911111111111112,5.0,
20,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.8,3.4,2.5,3.9,3.5809523809523816,1.0,
21,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.7,3.4,2.5,3.8,3.5809523809523816,3.0,
22,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.85,3.2,2.8,3.85,3.707936507936509,3.0,3.0
23,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.2,2.8,2.6,3.8,3.5809523809523816,5.0,
24,pdf_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",10.85,0.8,2.4,3.65,3.644444444444445,1.0,
25,pdf_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",10.2,0.6,2.3,3.3,3.6848484848484846,3.0,
26,pdf_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",10.05,0.4,2.2,3.45,3.5636363636363635,3.0,3.0
27,pdf_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",9.95,0.4,2.1,3.45,3.6848484848484846,5.0,
28,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.5,4.0,3.7,3.8,3.9937984496124033,1.0,
29,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.5,4.0,3.8,3.7,3.8490956072351423,3.0,
30,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.6,4.0,3.9,3.7,4.0,3.0,3.0
31,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.3,4.0,3.7,3.6,4.0,5.0,
32,student_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.5,4.0,3.6,3.9,3.561111111111111,1.0,
33,student_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.9,4.0,3.9,4.0,3.705555555555555,3.0,
34,student_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.75,3.8,4.0,3.95,3.311111111111111,3.0,3.0
35,student_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.2,3.8,3.5,3.9,3.588888888888889,5.0,
36,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.64,3.04,4.0,2.6,2.287581699346405,0.0,1.0
37,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.76,3.2,3.92,2.64,2.287581699346405,0.0,3.0
38,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.416666666666666,4.0,4.0,2.4166666666666665,0.4444444444444443,0.0,1.0
39,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.416666666666666,4.0,4.0,2.4166666666666665,0.4444444444444443,0.0,3.0
40,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.833333333333334,4.0,4.0,2.833333333333333,0.0,0.0,1.0
41,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.833333333333334,4.0,4.0,2.833333333333333,0.0,0.0,3.0
42,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.85,4.0,4.0,1.85,0.9589225589225596,0.0,1.0
43,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.85,4.0,4.0,1.85,0.9589225589225596,0.0,3.0
44,mushroom_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.95,3.8,3.9,2.25,0.1396825396825399,0.0,1.0
45,mushroom_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.95,3.8,3.9,2.25,0.1396825396825399,0.0,3.0
46,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.85,3.6,3.8,2.45,0.2666666666666668,0.0,1.0
47,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.85,3.6,3.8,2.45,0.2666666666666668,0.0,3.0
48,pdf_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.2,3.6,3.8,1.8,0.0,0.0,1.0
49,pdf_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.2,3.6,3.8,1.8,0.0,0.0,3.0
50,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.75,4.0,4.0,2.75,2.2118863049095614,0.0,1.0
51,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.15,4.0,4.0,3.15,2.2118863049095614,0.0,3.0
52,student_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.1,4.0,4.0,3.1,0.3666666666666662,0.0,1.0
53,student_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.9,4.0,4.0,2.9,0.3666666666666662,0.0,3.0
54,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.28,3.2,4.0,2.08,2.1960784313725497,,
55,housing_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",12.68,3.04,3.52,2.12,2.274509803921569,,
56,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",13.36,3.2,4.0,2.16,2.810457516339869,,
57,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.166666666666666,4.0,4.0,3.1666666666666665,0.4800000000000001,,
58,housing_2.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",14.666666666666666,3.6666666666666665,4.0,3.0,0.96,,
59,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",15.0,4.0,4.0,3.0,0.942222222222222,,
60,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.0,4.0,4.0,2.0,0.0,,
61,housing_3.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.916666666666666,3.6666666666666665,4.0,2.25,0.0,,
62,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",14.25,4.0,4.0,2.25,0.0,,
63,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.3,4.0,4.0,1.3,1.6969696969696977,,
64,mushroom_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.75,4.0,4.0,1.75,1.4168350168350172,,
65,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",12.85,4.0,4.0,0.85,1.7777777777777786,,
66,mushroom_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.85,4.0,4.0,1.85,0.5714285714285721,,
67,mushroom_2.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.65,4.0,4.0,1.65,0.5269841269841276,,
68,mushroom_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",13.3,4.0,4.0,1.3,0.7365079365079369,,
69,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.65,4.0,4.0,2.65,0.0650793650793652,,
70,pdf_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.85,4.0,3.5,2.35,0.0,,
71,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",13.85,3.6,4.0,2.25,0.2666666666666668,,
72,pdf_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.65,4.0,4.0,1.65,0.0,,
73,pdf_2.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.0,4.0,3.5,1.5,0.0,,
74,pdf_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",13.05,3.6,4.0,1.45,0.0,,
75,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.75,4.0,4.0,2.75,2.2894056847545223,,
76,student_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",14.5,3.6,4.0,2.9,2.118863049095608,,
77,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",14.5,4.0,4.0,2.5,2.5271317829457365,,
78,student_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.95,4.0,4.0,2.95,0.355555555555555,,
79,student_2.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",14.8,3.8,4.0,3.0,0.5499999999999996,,
80,student_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",15.0,4.0,4.0,3.0,0.4388888888888884,,
